"","Year","Country","Number of Significant Volcanic Eruptions","Number of Significant Earthquakes"
"702",2002,"Vanuatu",0,2
"703",2002,"World",6,60
"704",2002,"Yemen",0,0
"705",2003,"Antarctica",0,1
"706",2003,"Cameroon",0,0
"707",2003,"Canada",0,0
"708",2003,"Chile",0,1
"709",2003,"China",0,14
"710",2003,"Colombia",0,0
"711",2003,"Costa Rica",0,0
"712",2003,"Ecuador",0,0
"713",2003,"El Salvador",0,0
"714",2003,"Eritrea",0,0
"715",2003,"Ethiopia",0,0
"716",2003,"Greece",0,2
"717",2003,"Guadeloupe",0,0
"718",2003,"Guatemala",0,0
"719",2003,"Iceland",0,0
"720",2003,"Indonesia",0,6
"721",2003,"Italy",0,2
"722",2003,"Japan",0,6
"723",2003,"Martinique",0,0
"724",2003,"Mexico",0,1
"725",2003,"Montserrat",1,0
"726",2003,"New Zealand",0,2
"727",2003,"Nicaragua",0,0
"728",2003,"North Korea",0,0
"729",2003,"Pacific Ocean",0,0
"730",2003,"Papua New Guinea",0,0
"731",2003,"Peru",0,0
"732",2003,"Philippines",0,3
"733",2003,"Portugal",0,0
"734",2003,"Russia",0,3
"735",2003,"Saint Vincent and the Grenadines",0,0
"736",2003,"Samoa",0,0
"737",2003,"Saudi Arabia",0,0
"738",2003,"Solomon Islands",0,1
"739",2003,"Spain",0,0
"740",2003,"Taiwan",0,1
"741",2003,"Tanzania",0,0
"742",2003,"Tonga",0,0
"743",2003,"Trinidad and Tobago",0,0
"744",2003,"Turkey",0,5
"745",2003,"United States",0,5
"746",2003,"Vanuatu",0,0
"747",2003,"World",1,72
"748",2003,"Yemen",0,0
"749",2004,"Antarctica",0,0
"750",2004,"Cameroon",0,0
"751",2004,"Canada",0,1
"752",2004,"Chile",0,2
"753",2004,"China",0,5
"754",2004,"Colombia",0,1
"755",2004,"Costa Rica",0,1
"756",2004,"Ecuador",0,0
"757",2004,"El Salvador",0,0
"758",2004,"Eritrea",0,0
"759",2004,"Ethiopia",0,0
"760",2004,"Greece",0,2
"761",2004,"Guadeloupe",0,1
"762",2004,"Guatemala",0,0
"763",2004,"Iceland",0,0
"764",2004,"Indonesia",2,12
"765",2004,"Italy",0,1
"766",2004,"Japan",0,8
"767",2004,"Martinique",0,0
"768",2004,"Mexico",0,1
"769",2004,"Montserrat",0,0
"770",2004,"New Zealand",0,2
"771",2004,"Nicaragua",0,1
"772",2004,"North Korea",0,0
"773",2004,"Pacific Ocean",0,0
"774",2004,"Papua New Guinea",1,0
"775",2004,"Peru",0,0
"776",2004,"Philippines",0,1
"777",2004,"Portugal",0,0
"778",2004,"Russia",0,1
"779",2004,"Saint Vincent and the Grenadines",0,0
"780",2004,"Samoa",0,0
"781",2004,"Saudi Arabia",0,1
"782",2004,"Solomon Islands",0,0
"783",2004,"Spain",0,0
"784",2004,"Taiwan",0,2
"785",2004,"Tanzania",0,0
"786",2004,"Tonga",0,0
"787",2004,"Trinidad and Tobago",0,1
"788",2004,"Turkey",0,7
"789",2004,"United States",0,1
"790",2004,"Vanuatu",0,0
"791",2004,"World",3,78
"792",2004,"Yemen",0,0
"793",2005,"Antarctica",0,0
"794",2005,"Cameroon",0,0
"795",2005,"Canada",0,0
"796",2005,"Chile",0,2
"797",2005,"China",0,7
"798",2005,"Colombia",0,0
"799",2005,"Costa Rica",0,0
"800",2005,"Ecuador",0,2
"801",2005,"El Salvador",1,0
"802",2005,"Eritrea",0,0
"803",2005,"Ethiopia",0,1
"804",2005,"Greece",0,0
"805",2005,"Guadeloupe",0,1
"806",2005,"Guatemala",0,0
"807",2005,"Iceland",0,0
"808",2005,"Indonesia",0,7
"809",2005,"Italy",0,0
"810",2005,"Japan",0,5
"811",2005,"Martinique",0,0
"812",2005,"Mexico",0,0
"813",2005,"Montserrat",0,0
"814",2005,"New Zealand",0,1
"815",2005,"Nicaragua",0,0
"816",2005,"North Korea",0,0
"817",2005,"Pacific Ocean",0,0
"818",2005,"Papua New Guinea",1,1
"819",2005,"Peru",0,3
"820",2005,"Philippines",0,0
